index_content,word,nature,content_type,index_word
1,聽,v,积极,0
1,感谢,v,积极,1
1,支持,v,积极,2
2,好像,v,积极,0
2,广东,ns,积极,1
2,东莞,ns,积极,2
2,石排,n,积极,3
2,公园,n,积极,4
2,唱,v,积极,5
5,声音,n,消极,0
5,好听,v,消极,1
6,捉,v,中性,0
7,祖上,n,中性,0
7,只不过,c,中性,1
7,苗语,nz,中性,2
8,路过,v,中性,0
9,好听,v,积极,0
9,可爱,v,积极,1
9,可爱,v,积极,2
10,喜欢,v,积极,0
10,喜欢,v,积极,1
11,听,v,积极,0
13,耶,nr,消极,0
14,好听,v,积极,0
14,大力支持,nr,积极,1
14,期待,v,积极,2
14,新,a,积极,3
14,作品,n,积极,4
15,感谢,v,积极,0
15,支持,v,积极,1
16,老人,n,积极,0
16,思想,n,积极,1
16,封建,a,积极,2
17,网易,n,积极,0
17,云,ns,积极,1
17,音乐,n,积极,2
17,歌,n,积极,3
17,红河,ns,积极,4
17,路过,v,积极,5
18,女孩子,n,中性,0
18,爱,v,中性,1
19,屏边,n,积极,0
20,云南,ns,中性,0
20,文山,n,中性,1
20,市,n,中性,2
20,路过,v,中性,3
21,好听,v,积极,0
21,大笑,v,积极,1
21,大笑,v,积极,2
21,大笑,v,积极,3
22,女孩,n,积极,0
22,爱,v,积极,1
22,女孩,n,积极,2
22,爱,v,积极,3
23,云南,ns,积极,0
23,加油,v,积极,1
24,仁怀市,nr,积极,0
24,五马,ns,积极,1
24,后山,ns,积极,2
24,四面八方,i,积极,3
24,同胞,n,积极,4
24,后山,ns,积极,5
24,游玩,n,积极,6
25,期待,v,积极,0
25,更,d,积极,1
26,感谢,v,积极,0
26,一路,m,积极,1
26,陪伴,n,积极,2
27,民族,n,积极,0
27,民族,n,积极,1
27,区别,n,积极,2
27,语言,n,积极,3
27,民族,n,积极,4
27,语言,n,积极,5
27,好意思,l,积极,6
28,求,v,中性,0
28,翻译,v,中性,1
29,批,q,消极,0
29,音乐,n,消极,1
29,权,n,消极,2
29,网易,n,消极,3
31,听,v,消极,0
31,想来,v,消极,1
31,评论,n,消极,2
31,区,n,消极,3
31,有没有,v,消极,4
31,新人,n,消极,5
31,可怜,v,消极,6
31,可怜,v,消极,7
32,往事如烟,n,积极,0
32,想起,v,积极,1
32,首歌,n,积极,2
33,好听,v,消极,0
34,想,v,中性,0
34,告诉,v,中性,1
34,想,v,中性,2
35,母语,n,消极,0
36,搜索,v,积极,0
36,不到,v,积极,1
36,苗歌,nr,积极,2
37,相隔万里,l,积极,0
37,字,n,积极,1
37,字,n,积极,2
37,之间,f,积极,3
37,距离,n,积极,4
37,伤感,n,积极,5
37,歌曲,n,积极,6
37,永远,d,积极,7
37,伴随,v,积极,8
37,心中,s,积极,9
38,歌曲,n,积极,0
38,少,a,积极,1
38,可怜,v,积极,2
38,确,d,积极,3
38,无能为力,l,积极,4
38,希望,v,积极,5
38,天赋,n,积极,6
38,哥哥,ns,积极,7
38,小姐姐,nr,积极,8
38,开创,v,积极,9
38,发展,vn,积极,10
38,继承,v,积极,11
39,好听,v,消极,0
40,不错,a,积极,0
40,好听,v,积极,1
41,回忆起,i,积极,0
41,往事,v,积极,1
42,伤心,n,积极,0
43,你好,l,中性,0
43,想,v,中性,1
43,问问,n,中性,2
43,知不知道,i,中性,3
43,首歌,n,中性,4
43,名字,n,中性,5
43,想,v,中性,6
43,吃不下,l,中性,7
43,饭,n,中性,8
43,睡不着,v,中性,9
44,日,m,消极,0
44,推,v,消极,1
44,皮,n,消极,2
44,噢,y,消极,3
45,伤感,n,积极,0
45,流泪,n,积极,1
46,支持,v,中性,0
47,广南,ns,积极,0
47,姑娘,n,积极,1
47,路过,v,积极,2
48,听不懂,v,消极,0
49,湘西,ns,积极,0
49,路过,v,积极,1
50,屏边,n,积极,0
50,自治县,ns,积极,1
50,路过,v,积极,2
51,文山,n,积极,0
51,路过,v,积极,1
52,好听,v,消极,0
53,纳,nr,中性,0
54,妈妈,n,积极,0
54,苗,n,积极,1
54,爸爸,n,积极,2
54,壮族,nz,积极,3
54,听懂,v,积极,4
54,苗,n,积极,5
54,话,n,积极,6
54,听不懂,v,积极,7
54,歌,n,积极,8
55,太,d,消极,0
55,好听,v,消极,1
56,官定,n,消极,0
56,苗文,nz,消极,1
56,偶然,d,消极,2
56,官定,n,消极,3
56,蜀,j,消极,4
56,拼,v,消极,5
56,好像,v,消极,6
57,太,d,中性,0
57,爱,v,中性,1
57,妈呀,n,中性,2
58,广西,ns,积极,0
58,百色,n,积极,1
58,哥哥,ns,积极,2
58,路过,v,积极,3
59,咪彩,nz,积极,0
59,路过,v,积极,1
59,文山,n,积极,2
60,国际,n,中性,0
60,苗语,nz,中性,1
60,西部,f,中性,2
60,方言,n,中性,3
60,有没有,v,中性,4
60,讲,v,中性,5
60,西部,f,中性,6
60,苗语,nz,中性,7
60,听众,n,中性,8
61,云南,ns,积极,0
61,红河,ns,积极,1
61,屏边,n,积极,2
61,新华,nz,积极,3
61,哥哥,ns,积极,4
61,路过,v,积极,5
62,为啥,r,消极,0
62,听不懂,v,消极,1
63,漢族,nz,积极,0
63,還,d,积极,1
63,親,n,积极,2
64,大哭,v,中性,0
65,算,v,积极,0
65,语种,n,积极,1
65,苗语,nz,积极,2
65,分类,n,积极,3
65,挺,d,积极,4
65,听,v,积极,5
65,青苗,n,积极,6
65,语,ng,积极,7
65,红,a,积极,8
65,苗语,nz,积极,9
65,黑,a,积极,10
65,苗语,nz,积极,11
65,音乐,n,积极,12
65,网上,s,积极,13
65,白,nr,积极,14
65,苗语,nz,积极,15
65,歌,n,积极,16
65,国际,n,积极,17
65,苗语,nz,积极,18
65,声调,n,积极,19
65,区分,n,积极,20
66,西部,f,消极,0
66,方言,n,消极,1
66,白苗,n,消极,2
66,系,v,消极,3
66,俗称,v,消极,4
66,国际,n,消极,5
66,苗语,nz,消极,6
67,深圳,ns,积极,0
67,街角,n,积极,1
67,见,v,积极,2
67,两位,m,积极,3
67,大姐,n,积极,4
67,微信,vn,积极,5
67,家里人,nrt,积极,6
67,唱歌,n,积极,7
67,打听,v,积极,8
67,找到,v,积极,9
67,首歌曲,n,积极,10
67,听不懂,v,积极,11
67,优美,a,积极,12
67,旋律,n,积极,13
67,甜美,a,积极,14
67,歌喉,n,积极,15
67,吸引,v,积极,16
68,求,v,积极,0
68,大佬,nz,积极,1
68,翻译,v,积极,2
69,声,n,积极,0
69,不错,a,积极,1
70,老挝,ns,积极,0
70,歌曲,n,积极,1
71,缅甸,ns,积极,0
71,歌曲,n,积极,1
72,真,d,消极,0
72,好听,v,消极,1
73,之间,f,消极,0
73,想,v,消极,1
73,挣钱,v,消极,2
73,吃喝玩乐,i,消极,3
73,没意思,l,消极,4
74,点,q,消极,0
74,嘞,y,消极,1
74,蒙,nr,消极,2
75,苗,n,消极,0
75,仅,d,消极,1
75,听出,v,消极,2
75,几声,m,消极,3
76,康康,nr,中性,0
77,康康,nr,消极,0
77,三十,m,消极,1
78,康康,nr,积极,0
78,三十天,m,积极,1
78,淡,a,积极,2
78,可爱,v,积极,3
79,承认,v,积极,0
79,月亮,n,积极,1
